Dimensão,Score,Status
Completeness,nan%,⚠ Atenção
Consistency,81.69%,⚠ Atenção
Timeliness,100.00%,✓ Bom
Validity,100.00%,✓ Bom
Uniqueness,100.00%,⚠ Atenção
